epoch,train_loss,test_accuracy
1,1.3847300052642821,0.35
2,1.3313354134559632,0.5
3,1.173251461982727,0.5125
4,0.8761475026607514,0.51875
5,0.7653104722499847,0.76875
6,0.6743553876876831,0.78125
7,0.5613080322742462,0.825
8,0.42749096155166627,0.89375
9,0.3166116505861282,0.96875
10,0.2644362226128578,0.9875
11,0.15604887008666993,1.0
12,0.09423593804240227,1.0
13,0.06450504064559937,0.99375
14,0.048789399489760396,0.9875
15,0.03751210328191519,0.99375
16,0.02477856446057558,1.0
17,0.017550709657371044,1.0
18,0.014428162388503552,1.0
19,0.012274415884166955,1.0
20,0.010495741106569766,1.0
