epoch,train_loss,test_accuracy
1,1.383417272567749,0.5
2,1.3603409051895141,0.50625
3,1.2459993243217469,0.55
4,0.9943124532699585,0.53125
5,0.8184848487377167,0.8375
6,0.7435870170593262,0.78125
7,0.6292523622512818,0.825
8,0.4897443145513535,0.825
9,0.39040214419364927,0.8625
10,0.2748885676264763,0.91875
11,0.1471771292388439,1.0
12,0.07499816790223121,1.0
13,0.044512773677706716,1.0
14,0.0319478677585721,1.0
15,0.02494293637573719,1.0
16,0.02044857982546091,1.0
17,0.017372157238423825,1.0
18,0.014969897549599409,1.0
19,0.013356816209852695,1.0
20,0.22696644123643636,0.99375
