Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,target,cluster
3,male,34.0,0,0,7.25,S,0,0
1,female,29.0,1,0,71.2833,C,1,-1
3,female,22.0,0,0,7.925,S,1,1
1,male,48.0,1,0,53.1,S,1,-1
3,male,35.0,0,0,8.05,S,0,0
3,male,,0,0,8.4583,Q,0,-1
1,male,54.0,0,0,51.8625,S,0,-1
3,female,18.0,0,0,7.75,Q,1,-1
2,female,27.0,0,2,13.0,S,1,-1
2,male,41.0,0,0,26.0,S,0,0
1,female,36.0,0,0,76.7292,C,1,-1
3,male,19.0,0,0,7.8958,S,0,0
3,male,,2,1,6.5051,S,0,-1
3,female,34.0,0,0,11.1363,S,0,1
2,female,22.0,0,0,21.6737,Q,1,-1
2,male,17.0,0,0,22.9838,S,0,0
3,male,29.0,0,0,6.4951,S,1,0
1,female,6.0,0,0,89.518,S,1,-1
2,female,16.0,0,0,14.8516,S,1,1
1,male,34.0,0,0,79.4658,S,0,-1
1,male,33.0,0,2,55.3717,S,0,-1
1,male,20.0,1,0,72.1748,S,1,-1
2,male,39.0,0,0,13.4972,S,1,0
3,male,39.0,0,2,4.8048,S,0,-1
2,male,26.0,1,0,11.2946,S,0,2
3,female,22.0,0,0,19.5449,C,0,3
2,female,26.0,2,0,14.6674,Q,1,-1
3,female,45.0,0,0,9.0961,C,1,3
3,male,50.0,0,0,4.5573,S,0,0
3,male,,0,0,7.3374,S,0,0
1,female,,0,2,52.2746,S,1,-1
3,male,,0,0,23.284,S,0,0
3,male,,1,1,2.8537,S,0,-1
3,male,43.0,1,0,19.5517,S,0,2
3,male,23.0,1,0,6.7162,Q,0,-1
1,male,25.0,0,0,102.5253,S,0,-1
3,male,65.0,0,0,5.3203,S,1,-1
3,male,5.0,1,2,6.0661,C,0,-1
3,male,30.0,0,0,8.12,S,0,0
2,male,39.0,0,0,15.4849,S,0,0
3,female,39.0,0,0,11.7073,S,0,1
1,female,,2,0,38.3588,C,1,-1
2,female,32.0,0,0,20.6422,S,0,1
1,male,33.0,1,0,105.1302,S,1,-1
1,female,26.0,0,2,71.1952,S,1,-1
3,male,,0,0,7.8731,S,0,0
2,male,35.0,0,2,18.4457,C,1,-1
3,female,38.0,0,0,6.9177,C,0,3
3,male,39.0,1,0,2.6242,S,0,2
3,female,,0,0,7.1762,C,0,3
1,female,23.0,2,0,77.5684,S,1,-1
1,male,14.0,1,0,75.3606,Q,0,-1
3,female,26.0,0,0,7.7379,S,1,1
3,female,17.0,0,0,6.1013,S,1,1
2,female,23.0,0,0,15.4515,S,1,1
3,female,36.0,0,1,9.1024,C,1,-1
1,male,33.0,0,0,99.0261,C,1,-1
3,male,21.0,1,0,9.246,C,0,-1
3,male,32.0,0,1,15.6102,S,0,-1
1,male,47.0,0,0,55.2347,Q,1,-1
2,female,18.0,1,0,16.6053,S,1,-1
3,male,35.0,1,0,6.532,S,0,2
2,male,27.0,0,0,26.9897,S,0,0
2,male,27.0,1,0,9.353,S,0,2
3,female,,1,0,5.1451,S,0,-1
3,male,,1,0,10.8111,S,0,2
3,male,20.0,1,0,3.5127,S,1,2
3,female,18.0,1,0,5.6894,S,1,-1
3,female,21.0,0,0,2.5324,S,0,1
2,female,24.0,0,0,22.7918,Q,1,-1
1,female,11.0,0,1,149.2927,S,1,-1
2,female,24.0,1,0,15.4301,S,0,-1
3,female,32.0,0,0,8.7768,C,0,3
3,female,36.0,0,1,5.9866,C,1,-1
3,male,22.0,0,0,2.7226,S,0,0
1,male,,0,0,104.2212,S,1,-1
1,female,25.0,0,0,55.5042,S,1,4
2,male,13.0,1,0,23.0417,Q,1,-1
1,male,1.0,0,0,28.1476,C,0,-1
3,male,15.0,2,0,4.9556,S,0,-1
3,male,,0,0,7.7876,S,0,0
3,male,,0,0,8.967,S,0,0
1,male,,1,1,59.3277,S,1,-1
3,female,41.0,1,0,5.1276,S,0,-1
3,female,12.0,0,0,5.7826,S,1,1
1,female,31.0,2,0,124.1371,S,1,-1
2,male,1.0,0,0,15.1721,S,1,-1
3,male,28.0,1,0,8.8407,S,0,2
3,female,40.0,0,0,8.7265,S,1,1
3,male,27.0,0,0,4.0997,S,0,0
1,male,29.0,0,0,58.8477,Q,0,-1
3,male,44.0,0,1,5.1554,S,0,-1
1,female,17.0,0,0,68.07,Q,1,-1
2,female,33.0,0,0,30.3031,S,1,1
2,male,30.0,0,0,16.6765,S,1,0
3,male,32.0,0,0,11.4505,S,0,0
2,female,32.0,0,2,21.3846,S,1,-1
1,male,57.0,1,0,68.9478,S,1,-1
1,male,24.0,0,2,41.4512,S,0,-1
3,male,38.0,0,0,8.7048,C,0,-1
3,male,51.0,0,0,10.5907,S,0,0
2,female,23.0,0,0,24.3348,S,1,1
3,female,,0,0,9.9122,S,0,1
1,male,23.0,0,0,104.0505,S,0,-1
3,male,37.0,0,0,7.852,S,0,0
3,female,12.0,1,0,4.0354,S,1,-1
2,male,26.0,1,1,13.4692,S,0,-1
1,female,25.0,0,0,117.677,Q,1,-1
1,female,29.0,0,1,87.2125,S,1,-1
3,female,49.0,2,0,12.4715,S,1,-1
3,male,10.0,0,0,14.647,C,0,-1
1,female,23.0,0,0,65.091,C,1,-1
1,male,16.0,1,0,60.3503,C,0,-1
2,male,21.0,0,0,15.1418,C,0,-1
1,female,29.0,2,1,34.3441,S,1,-1
3,female,,0,0,7.1157,S,0,1
3,female,33.0,0,0,5.2321,S,1,1
3,female,26.0,0,2,10.5114,S,0,-1
1,female,14.0,0,0,62.0729,S,1,4
3,male,,0,0,2.7251,S,0,0
3,male,16.0,0,2,9.6475,C,0,-1
3,male,1.0,0,0,7.5903,S,1,-1
3,female,21.0,0,2,3.3249,S,1,-1
2,female,32.0,0,0,17.6905,S,1,1
1,female,26.0,2,0,84.9011,Q,1,-1
1,male,,1,1,26.2598,S,1,-1
3,male,30.0,1,0,8.4219,Q,0,-1
1,female,1.0,0,0,21.2864,S,1,-1
3,female,35.0,0,0,3.8444,S,1,1
3,male,31.0,0,0,7.0936,S,1,0
3,male,,0,1,6.812,S,0,-1
1,male,,1,0,61.8846,Q,1,-1
3,male,21.0,0,0,11.3276,Q,0,-1
1,male,45.0,1,1,94.3953,S,0,-1
3,female,1.0,0,0,7.8247,S,1,1
3,male,,0,0,17.3388,S,0,0
3,male,,0,0,8.4154,S,0,0
